run,hour,wet_area_km2,volume_mil_m3,dz_median_m,dz_max_m,dV_dt_m3s,dV_dt_pct_inflow
baseline,0,0.0,0.0,,,,
baseline,1,7.698,28.383674362945555,,,7884.353989707099,100.56573966463137
baseline,2,13.1085,56.60727945022583,1.8997573852539062,7.711006164550781,7839.890302022299,99.99860079110074
baseline,3,18.4833,84.83143338623047,1.2122268676757812,6.053367614746094,7840.042760001288,100.00054540817969
baseline,4,24.8749,113.05140760192872,0.68670654296875,5.361083984375,7838.881726582845,99.98573630845465
baseline,5,31.0501,141.27479850463868,0.3386383056640625,5.009819030761719,7839.830806308323,99.997841917198
baseline,6,39.7474,169.49145080337524,0.303314208984375,5.246208190917969,7837.958971871267,99.97396647794983
baseline,7,52.1457,197.71019146575927,0.2653656005859375,4.4263458251953125,7838.53907288445,99.98136572556697
baseline,8,62.7786,225.93068251991272,0.1124267578125,3.8858795166015625,7839.0252928204045,99.98756751046434
baseline,9,71.2544,254.15728241348268,0.1712493896484375,4.407081604003906,7840.722192658321,100.00921164105002
baseline,10,79.5847,282.3815981842041,0.1871795654296875,3.6334571838378906,7840.087714089286,100.00111880215927
baseline,11,87.0028,307.12729531555175,0.17899322509765625,3.3539772033691406,6873.804758707678,87.67608110596528
baseline,12,91.7098,324.61144587249754,0.16204071044921875,2.1321182250976562,4856.708488040498,61.94781234745533
baseline,13,96.4667,339.38108311538696,0.13934326171875,2.3597488403320312,4102.677011913727,52.330063927471016
baseline,14,100.5704,352.500072574234,0.11547088623046875,2.5227432250976562,3644.16373856863,46.48168033888558
baseline,15,105.9931,364.4039053394318,0.10431671142578125,1.8079910278320312,3306.6202125549344,42.17627822136396
baseline,16,110.366,375.29511288414,0.0961151123046875,1.823211669921875,3025.3354290856137,38.588462105683845
baseline,17,114.3672,385.3681808532715,0.08449554443359375,2.377838134765625,2798.074435869861,35.689724947319654
baseline,18,117.9927,394.7598499927521,0.06578826904296875,2.4790573120117188,2608.796983189055,33.27547172435019
baseline,19,121.2963,403.6043403629303,0.05621337890625,1.9714813232421875,2456.8028806050615,31.33677143628905
baseline,20,126.0666,411.9709630805969,0.048736572265625,2.2943344116210938,2324.0618660184964,29.64364625023592
baseline,21,129.4048,419.9365695892334,0.04172515869140625,2.3350448608398438,2212.6684746212454,28.222812176291395
baseline,22,132.3545,427.5726232524872,0.0369415283203125,3.3885650634765625,2121.126017570497,27.05517879554205
baseline,23,135.35,434.8938696498871,0.0357818603515625,1.6027984619140625,2033.6795548333146,25.93979024022085
baseline,24,137.8251,441.9219293647766,0.0326385498046875,1.50994873046875,1952.2388096915222,24.901005225657173
baseline,25,139.8325,448.6956700061798,0.0278778076171875,2.4151763916015625,1881.594622612002,23.999931410867372
baseline,26,144.1841,455.2660765838623,0.02301025390625,1.4863662719726562,1825.1129382451363,23.27950176333082
baseline,27,147.4707,461.6612162124634,0.01967620849609375,1.33367919921875,1776.4276746114167,22.658516257798684
baseline,28,150.5245,467.91162751235964,0.0183563232421875,1.408721923828125,1736.2253610822936,22.145731646457826
baseline,29,153.0318,474.0337765605926,0.01699066162109375,2.3984603881835938,1700.5969578424956,21.691287727582854
baseline,30,155.3448,480.0382518146515,0.01615142822265625,1.533416748046875,1667.909792794136,21.27435960196602
baseline,31,157.6424,485.9390171546936,0.01667022705078125,2.2774276733398438,1639.1014833450238,20.90690667531918
baseline,32,160.2456,491.72148605995176,0.015960693359375,1.3227386474609375,1606.2413625717102,20.487772481782017
baseline,33,163.5915,497.391908833313,0.0137786865234375,1.3697509765625,1575.1174370447845,20.090783635775313
baseline,34,166.1496,502.97570166282657,0.01171112060546875,2.9926834106445312,1551.0535637537735,19.783846476451192
baseline,35,168.1984,508.47722610969544,0.010772705078125,1.4212417602539062,1528.2012352413528,19.49236269440501
baseline,36,169.951,513.8936249069213,0.00960540771484375,1.9791107177734375,1504.5552214516376,19.190755375658643
baseline,37,172.4282,519.2516720970153,0.0097198486328125,1.7412033081054688,1488.3464416927773,18.98401073587726
baseline,38,174.7973,524.5436238292694,0.01114654541015625,2.1084671020507812,1469.986592292811,18.749828983326672
baseline,39,176.4304,529.75747718544,0.01142120361328125,1.6516571044921875,1448.2925989362786,18.47311988439131
baseline,40,178.2824,534.8696527519226,0.01015472412109375,1.873199462890625,1420.0487684673626,18.11286694473677
baseline,41,180.8645,539.8435732078552,0.00933837890625,3.5594635009765625,1381.6445710924086,17.623017488423578
baseline,42,184.1765,544.7575569980621,0.01018524169921875,1.5644073486328125,1364.9954972796902,17.410656853057276
baseline,43,186.3164,549.4715333316803,0.011138916015625,2.37384033203125,1309.4378704495093,16.70201365369272
baseline,44,188.3346,554.0213511360168,0.01068878173828125,1.4058990478515625,1263.8382789823606,16.1203862115097
baseline,45,190.3323,558.4144014186859,0.01094818115234375,1.4068374633789062,1220.2917451858439,15.564945729411273
baseline,46,192.4608,562.6632933116913,0.01139068603515625,1.314849853515625,1180.2477480570574,15.054180459911445
baseline,47,193.9111,566.760238609314,0.01357269287109375,1.3176956176757812,1138.0403604507528,14.515820924116746
baseline,48,196.2014,570.734543170929,0.012359619140625,1.2806396484375,1103.973489337496,14.081294506855816
baseline,49,198.0345,574.5793262447357,0.01152801513671875,1.849884033203125,1067.9952982796535,13.62238900866905
baseline,50,199.559,578.2991013835907,0.010894775390625,1.952392578125,1033.2708719041584,13.179475406940796
baseline,51,201.6461,581.9208078392029,0.00951385498046875,1.908905029296875,1006.0295710033845,12.832009834226843
baseline,52,203.2821,585.4357083778382,0.009521484375,1.4526290893554688,976.3612607320246,12.453587509337048
baseline,53,204.4884,588.843255929184,0.00936126708984375,1.8565597534179688,946.5409864849523,12.073226868430515
baseline,54,205.9867,592.1793996791839,0.0082244873046875,1.289154052734375,926.7065972221959,11.820237209466784
baseline,55,207.4784,595.420370822525,0.00739288330078125,1.1791229248046875,900.2697620391903,11.483032679071306
baseline,56,208.5011,598.5809984046936,0.0067138671875,1.6053390502929688,877.9521061579329,11.198368700994042
baseline,57,209.6352,601.666397707367,0.0066680908203125,2.081573486328125,857.0553618537247,10.93182859507302
baseline,58,211.4846,604.6871098854065,0.00653076171875,1.4593276977539062,839.0867161220841,10.702636685230665
baseline,59,213.364,607.6792397586822,0.006195068359375,1.773651123046875,831.1471870210438,10.601367181390865
baseline,60,214.5053,610.5964672168732,0.00629425048828125,2.1665573120117188,810.3409606085974,10.335981640415783
